symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
ES,4h,32,0.015,3.0,on,all_hours,85,47.1,-0.059,-5.01
ES,4h,32,0.015,3.5,off,all_hours,101,44.6,-0.109,-11.01
ES,4h,32,0.015,3.5,on,all_hours,81,46.9,-0.062,-5.02
ES,4h,32,0.02,2.0,off,all_hours,112,50.0,0.0,0.0
ES,4h,32,0.02,2.0,on,all_hours,87,54.0,0.08,6.96
ES,4h,32,0.02,2.5,off,all_hours,97,45.4,-0.093,-9.02
ES,4h,32,0.02,2.5,on,all_hours,81,50.6,0.012,0.97
ES,4h,32,0.02,3.0,off,all_hours,84,53.6,0.071,5.96
ES,4h,32,0.02,3.0,on,all_hours,74,56.8,0.135,9.99
ES,4h,32,0.02,3.5,off,all_hours,79,50.6,0.013,1.03
ES,4h,32,0.02,3.5,on,all_hours,67,52.2,0.045,3.01
ES,4h,32,0.025,2.0,off,all_hours,85,45.9,-0.082,-6.97
ES,4h,32,0.025,2.0,on,all_hours,73,50.7,0.014,1.02
ES,4h,32,0.025,2.5,off,all_hours,80,47.5,-0.05,-4.0
ES,4h,32,0.025,2.5,on,all_hours,72,52.8,0.056,4.03
ES,4h,32,0.025,3.0,off,all_hours,74,50.0,0.0,0.0
ES,4h,32,0.025,3.0,on,all_hours,66,56.1,0.121,7.99
ES,4h,32,0.025,3.5,off,all_hours,71,49.3,-0.014,-0.99
ES,4h,32,0.025,3.5,on,all_hours,64,54.7,0.094,6.02
ES,4h,32,0.03,2.0,off,all_hours,59,50.8,0.017,1.0
ES,4h,32,0.03,2.0,on,all_hours,54,50.0,0.0,0.0
ES,4h,32,0.03,2.5,off,all_hours,53,54.7,0.094,4.98
ES,4h,32,0.03,2.5,on,all_hours,49,55.1,0.102,5.0
ES,4h,32,0.03,3.0,off,all_hours,48,52.1,0.042,2.02
ES,4h,32,0.03,3.0,on,all_hours,47,55.3,0.106,4.98
ES,4h,32,0.03,3.5,off,all_hours,45,55.6,0.111,5.0
ES,4h,32,0.03,3.5,on,all_hours,44,54.5,0.091,4.0
ES,4h,48,0.01,2.0,off,all_hours,155,42.6,-0.148,-22.94
ES,4h,48,0.01,2.0,on,all_hours,106,45.3,-0.094,-9.96
ES,4h,48,0.01,2.5,off,all_hours,130,46.9,-0.062,-8.06
ES,4h,48,0.01,2.5,on,all_hours,91,49.5,-0.011,-1.0
